Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
2288;20/21;Martín Bueno;ablösefrei;Eastern Sub.;New Zealand;English;Germanic;AC Bellinzona;Switzerland;Italian;Romance
2289;20/21;Jeremias Nicolas Gimenez;ablösefrei;Milano City;Italy;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2290;20/21;Moussa Toure Diaby;ablösefrei;Olymp. Genève;Switzerland;French;Romance;AC Bellinzona;Switzerland;Italian;Romance
2291;20/21;Nahuel Manzo;ablösefrei;San Lorenzo II;Italy;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2292;20/21;Ivan Facchin;Leihe;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2293;20/21;Leonardo Rivoira;Leihe;FC Lugano;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2295;20/21;Tiziano Villa;Leihe;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2296;20/21;Bruno Martignoni;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance
2297;20/21;David Stojanov;Leih-Ende;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2298;20/21;Luigi Di Lauro;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AS Novazzano;Switzerland;Italian;Romance
2299;20/21;Kristijan Ivanov;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Bavois;Switzerland;French;Romance
2300;20/21;Edmond Berzati;Leihe;AC Bellinzona;Switzerland;Italian;Romance;FC Chiasso;Switzerland;Italian;Romance
2301;20/21;Luca Anselmi;-;AC Bellinzona;Switzerland;Italian;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos
2302;20/21;Tiziano Villa;Leih-Ende;AC Bellinzona;Switzerland;Italian;Romance;FC Lugano U21;Switzerland;Italian;Romance
2303;20/21;Luca Quadri;-;AC Bellinzona;Switzerland;Italian;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos
2304;19/20;Luigi Di Lauro;ablösefrei;Rapid Lugano;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2305;19/20;Patrick Cazzaniga;ablösefrei;Yverdon-Sport;Switzerland;French;Romance;AC Bellinzona;Switzerland;Italian;Romance
2306;19/20;Ivan Audino;ablösefrei;FC Wil 1900;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance
2307;19/20;Kristijan Ivanov;ablösefrei;Akad. Pandev;North Macedonia;Macedonian;Slavic;AC Bellinzona;Switzerland;Italian;Romance
2308;19/20;Sergio Cortelezzi;ablösefrei;FC Wil 1900;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance
2309;19/20;Guillermo Padula;ablösefrei;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2310;19/20;Franco Martínez;Leihe;Peñarol;Uruguay;Spanish;Romance;AC Bellinzona;Switzerland;Italian;Romance
2312;19/20;Michele Monighetti;Leihe;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2313;19/20;Leonardo Melazzi;?;Rampla Jrs;Uruguay;Spanish;Romance;AC Bellinzona;Switzerland;Italian;Romance
2314;19/20;Marko Rajkovacic;Leihe;Losone;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2316;19/20;Manuel Cepilov;-;Team Ticino U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2317;19/20;Gonzalo Soto;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance
2318;19/20;Aleandro Prati;Leih-Ende;FC Paradiso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2319;19/20;Kevin Guidotti;-;AC Bellinzona U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2320;19/20;Stefan Vidovi?;-;Team Ticino U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2321;19/20;Ivan Facchin;Leihe;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2322;19/20;Aleandro Prati;Leih-Ende;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance
2323;19/20;Daniel Maffi;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Malcantone;Switzerland;Italian;Romance
2324;19/20;André Poças;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;US Arbedo;Switzerland;Italian;Romance
2325;19/20;Bahadir Yesilçayir;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;SC Kriens;Switzerland;German;Germanic
2326;19/20;Tito Tarchini;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Mendrisio;Switzerland;Italian;Romance
2327;19/20;Alessio Bottani;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Malcantone;Switzerland;Italian;Romance
